,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
137,Africa Eastern and Southern,AFE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Africa Eastern and Southern,AFE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Africa Eastern and Southern,AFE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,154443000000.0,156086000000.0,167720000000.0,177348000000.0,187056000000.0,197520000000.0,205537000000.0,217485000000.0,226285000000.0,238004000000.0,249561000000.0,262291000000.0,268072000000.0,280025000000.0,296376000000.0,300588000000.0,307937000000.0,310225000000.0,315336000000.0,325346000000.0,343915000000.0,358295000000.0,359028000000.0,358425000000.0,371328000000.0,370175000000.0,376844000000.0,390511000000.0,407088000000.0,417862000000.0,418084000000.0,417720000000.0,408716000000.0,405994000000.0,414468000000.0,432328000000.0,455719000000.0,471366000000.0,479180000000.0,491985000000.0,508752000000.0,525973000000.0,547420000000.0,564700000000.0,595326000000.0,632905000000.0,676146000000.0,724181000000.0,758919000000.0,766807000000.0,803689000000.0,837460000000.0,864601000000.0,903252000000.0,940203000000.0,966183000000.0,985551000000.0,1013460000000.0,1037640000000.0,1055000000000.0,1017280000000.0
470,Africa Eastern and Southern,AFE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1180.425371,1163.432401,1218.764175,1255.986048,1290.749907,1327.686393,1345.551845,1386.342652,1404.134272,1437.119893,1465.790368,1497.950484,1488.121842,1510.57166,1553.327375,1530.413453,1522.888196,1490.084051,1471.00148,1473.88629,1513.003508,1530.794935,1489.747523,1444.410623,1453.168759,1406.644841,1390.31129,1398.756506,1415.837765,1411.579067,1372.349535,1332.888606,1268.241648,1225.585058,1217.663736,1236.614782,1269.57659,1279.353785,1267.341049,1268.074512,1277.907419,1287.50241,1305.79349,1312.502325,1348.019621,1395.896408,1452.2615,1514.494156,1545.114252,1519.619025,1550.121225,1571.9252,1579.230063,1605.490913,1626.436713,1626.92188,1615.712516,1617.937045,1613.527749,1598.376982,1502.09622
626,Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,19.59839357,15.22409894,11.2164768,14.23805549,12.52689251,15.06984982,15.06651154,14.46159107,12.1399177,11.56752438,10.98386257,13.00656642,13.89197165,12.56344322,12.52225363,12.55820207,12.45791398,17.67810026,16.1676124,13.13566077,14.85281498,12.28859126,9.706586325,10.24959874,7.495259086,7.819864776,8.601485149,5.840353983,8.763751648,7.44970014,5.023420686,8.558038022,8.898163802,8.450774806,12.56664466,8.954218024,5.537537916,8.97120641,9.158707155,5.746948853,5.37028961,5.250170864,6.594604415,6.399343416,4.720811389,3.923372435,4.978096763
798,Africa Eastern and Southern,AFE,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Africa Eastern and Southern,AFE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89401931,,23.49161411,20.56582587,20.38324716,21.46105478,22.21980623,24.34682781,24.24357555,24.47781325,19.45955729,19.41543008,19.45002353,19.94492539,20.19655747,20.24122229,19.67758458,19.37743248,19.96609235,20.06929951,20.83699924,
1402,Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Africa Western and Central,AFW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Africa Western and Central,AFW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,Africa Western and Central,AFW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,101480000000.0,103407000000.0,107353000000.0,114912000000.0,120925000000.0,125974000000.0,123711000000.0,112080000000.0,113675000000.0,130849000000.0,153903000000.0,170261000000.0,175731000000.0,182937000000.0,202207000000.0,198348000000.0,215750000000.0,225105000000.0,219353000000.0,230744000000.0,236003000000.0,220344000000.0,213533000000.0,200350000000.0,201886000000.0,212964000000.0,215815000000.0,218416000000.0,229133000000.0,234454000000.0,249546000000.0,252593000000.0,259372000000.0,256361000000.0,255782000000.0,260927000000.0,272921000000.0,283370000000.0,293591000000.0,297710000000.0,308462000000.0,325944000000.0,358312000000.0,379355000000.0,409769000000.0,434378000000.0,457217000000.0,482767000000.0,512579000000.0,544080000000.0,580217000000.0,609256000000.0,641380000000.0,678781000000.0,718378000000.0,738027000000.0,738013000000.0,753981000000.0,775331000000.0,799734000000.0,791905000000.0
1913,Africa Western and Central,AFW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1052.738072,1050.805803,1068.114698,1118.999559,1152.178739,1174.146004,1127.701857,998.9668729,990.3609362,1113.900675,1279.653102,1382.160773,1392.27559,1413.898879,1523.792309,1456.582106,1543.129976,1567.414768,1486.426197,1521.420408,1513.981981,1375.225174,1296.580189,1183.548648,1160.316919,1190.896173,1174.276703,1156.444267,1180.669163,1175.899444,1218.465292,1200.923109,1200.929556,1156.056839,1123.365703,1115.992176,1136.629745,1149.044818,1159.052396,1144.288162,1154.361228,1187.695671,1271.318425,1310.519013,1378.056673,1421.76287,1456.171078,1495.829584,1544.973442,1595.305193,1655.130138,1691.038125,1732.322036,1784.210976,1837.835076,1837.778448,1788.898917,1779.223223,1781.429766,1789.467908,1726.022645
