,Region,Country,State,City,Month,Day,Year,AvgTemperature
123231,Africa,Madagascar,,Antananarivo,1.0,1.0,1995.0,70.2
123232,Africa,Madagascar,,Antananarivo,1.0,2.0,1995.0,68.3
123233,Africa,Madagascar,,Antananarivo,1.0,3.0,1995.0,67.5
123234,Africa,Madagascar,,Antananarivo,1.0,4.0,1995.0,69.8
123235,Africa,Madagascar,,Antananarivo,1.0,5.0,1995.0,69.5
123236,Africa,Madagascar,,Antananarivo,1.0,6.0,1995.0,68.4
123237,Africa,Madagascar,,Antananarivo,1.0,7.0,1995.0,68.9
123238,Africa,Madagascar,,Antananarivo,1.0,8.0,1995.0,69.8
123239,Africa,Madagascar,,Antananarivo,1.0,9.0,1995.0,67.7
123240,Africa,Madagascar,,Antananarivo,1.0,10.0,1995.0,71.6
123241,Africa,Madagascar,,Antananarivo,1.0,11.0,1995.0,72.2
123242,Africa,Madagascar,,Antananarivo,1.0,12.0,1995.0,71.5
123243,Africa,Madagascar,,Antananarivo,1.0,13.0,1995.0,72.2
123244,Africa,Madagascar,,Antananarivo,1.0,14.0,1995.0,68.9
123245,Africa,Madagascar,,Antananarivo,1.0,15.0,1995.0,70.1
123246,Africa,Madagascar,,Antananarivo,1.0,16.0,1995.0,68.7
123247,Africa,Madagascar,,Antananarivo,1.0,17.0,1995.0,69.7
123248,Africa,Madagascar,,Antananarivo,1.0,18.0,1995.0,73.0
123249,Africa,Madagascar,,Antananarivo,1.0,19.0,1995.0,71.9
123250,Africa,Madagascar,,Antananarivo,1.0,20.0,1995.0,69.8
123251,Africa,Madagascar,,Antananarivo,1.0,21.0,1995.0,67.9
123252,Africa,Madagascar,,Antananarivo,1.0,22.0,1995.0,68.1
123253,Africa,Madagascar,,Antananarivo,1.0,23.0,1995.0,71.3
123254,Africa,Madagascar,,Antananarivo,1.0,24.0,1995.0,72.1
123255,Africa,Madagascar,,Antananarivo,1.0,25.0,1995.0,72.3
123256,Africa,Madagascar,,Antananarivo,1.0,26.0,1995.0,70.4
123257,Africa,Madagascar,,Antananarivo,1.0,27.0,1995.0,69.7
